RA,DEC,Name
83.63308333,22.0145,Messier 1
323.36258333,-0.82325,Messier 2
205.54841667,28.37727778,Messier 3
245.89675,-26.52575,Messier 4
229.63841667,2.08102778,Messier 5
265.08333333,-32.25333333,Messier 6
268.4625,-34.79333333,Messier 7
270.90416667,-24.38666667,Messier 8
259.79908333,-18.51625,Messier 9
254.28770833,-4.10030556,Messier 10
282.77083333,-6.27,Messier 11
251.80908333,-1.94852778,Messier 12
250.423475,36.46131944,Messier 13
264.400625,-3.24591667,Messier 14
322.49304167,12.167,Messier 15
274.7,-13.80666667,Messier 16
275.19583333,-16.17166667,Messier 17
274.99166667,-17.10166667,Messier 18
255.65704167,-26.26794444,Messier 19
270.675,-22.97166667,Messier 20
271.05416667,-22.49,Messier 21
279.09975,-23.90475,Messier 22
269.26666667,-18.985,Messier 23
274.2,-18.55,Messier 24
277.94583333,-19.11666667,Messier 25
281.325,-9.38333333,Messier 26
299.90151337,22.72119788,Messier 27
276.13704167,-24.86983333,Messier 28
305.98333333,38.52333333,Messier 29
325.09216667,-23.17986111,Messier 30
10.68470833,41.26875,Messier 31
10.67427083,40.86516944,Messier 32
23.4621,30.65994167,Messier 33
40.52083333,42.76166667,Messier 34
92.225,24.33333333,Messier 35
84.075,34.14,Messier 36
88.075,32.55333333,Messier 37
82.17916667,35.855,Messier 38
322.95,48.43333333,Messier 39
185.55,58.08333333,Messier 40
101.50416667,-20.75666667,Messier 41
83.82208333,-5.39111111,Messier 42
83.87916667,-5.27,Messier 43
130.1,19.66666667,Messier 44
56.75,24.11666667,Messier 45
115.44166667,-14.81,Messier 46
114.14583333,-14.48333333,Messier 47
123.42916667,-5.75,Messier 48
187.44499167,8.00041111,Messier 49
105.69791667,-8.33777778,Messier 50
202.469575,47.19525833,Messier 51
351.2,61.59333333,Messier 52
198.23020833,18.16816667,Messier 53
283.763875,-30.47986111,Messier 54
294.99879167,-30.96475,Messier 55
289.14820833,30.18347222,Messier 56
283.39623732,33.02913421,Messier 57
189.43165417,11.81808889,Messier 58
190.509675,11.64693056,Messier 59
190.9167,11.55261111,Messier 60
185.47886465,4.47377454,Messier 61
255.3025,-30.11236111,Messier 62
198.95530772,42.02936836,Messier 63
194.18206667,21.68265833,Messier 64
169.73315417,13.09221111,Messier 65
170.06260833,12.99128889,Messier 66
132.825,11.8,Messier 67
189.86658333,-26.74405556,Messier 68
277.84625,-32.34808333,Messier 69
280.80316667,-32.29211111,Messier 70
298.44370833,18.77919444,Messier 71
313.36541667,-12.53730556,Messier 72
314.75,-12.63333333,Messier 73
24.17405,15.78346111,Messier 74
301.52017083,-21.92226111,Messier 75
25.58191863,51.57543143,Messier 76
40.66987917,-0.01328889,Messier 77
86.69083333,0.07916667,Messier 78
81.044125,-24.52425,Messier 79
244.26004167,-22.97608333,Messier 80
148.88822109,69.0652947,Messier 81
148.96845833,69.67970278,Messier 82
204.25382917,-29.86576111,Messier 83
186.26559721,12.88698314,Messier 84
186.35022083,18.19108056,Messier 85
186.549225,12.94596944,Messier 86
187.70593076,12.39112329,Messier 87
187.99673333,14.42041111,Messier 88
188.91586393,12.55634189,Messier 89
189.20756667,13.16286944,Messier 90
188.860125,14.49631944,Messier 91
259.28079167,43.13594444,Messier 92
116.125,-23.85666667,Messier 93
192.72145,41.12015278,Messier 94
160.99038221,11.70378539,Messier 95
161.6906,11.81993889,Messier 96
168.69880209,55.0190237,Messier 97
183.45121667,14.90046944,Messier 98
184.70677083,14.41648889,Messier 99
185.72888285,15.82230397,Messier 100
210.80242917,54.34875,Messier 101
226.62317083,55.76330833,Messier 102
23.34583333,60.65,Messier 103
189.99763271,-11.62305428,Messier 104
161.95666667,12.58163056,Messier 105
184.74008333,47.30371944,Messier 106
248.13275,-13.05377778,Messier 107
167.87902917,55.67412222,Messier 108
179.39993333,53.37451944,Messier 109
10.09189356,41.68541564,Messier 110
